date,shape,latitude,longitude
2005-09,disk,39.7102778,-111.8355556
2005-09,disk,43.866667,-79.266667
2005-09,disk,43.5277778,-71.4708333
2005-09,disk,39.32098,-111.093731
2005-09,disk,47.92,106.92
2005-09,fireball,27.273049,-80.358226
2005-09,fireball,33.3702778,-112.5830556
2005-09,fireball,34.2694444,-118.7805556
2005-09,fireball,-35.359058,150.472473
2005-09,fireball,34.6100000,-112.3150000
2005-09,fireball,39.5297222,-119.8127778
2005-09,fireball,28.1486111,-80.5886111
2005-09,fireball,35.24804,-75.539315
2005-09,fireball,48.5500000,-109.6833333
2005-09,fireball,34.6086111,-98.3900000
2005-09,teardrop,26.4377778,-81.8069444
2005-09,cigar,36.7477778,-119.7713889
2005-09,cigar,37.4136111,-79.1425000
2005-09,cigar,42.2411111,-88.3161111
2005-09,cigar,33.3805556,-84.7997222
2005-09,cigar,40.7372222,-114.0366667
2005-09,chevron,42.9633333,-85.6680556
2005-10,oval,39.3722222,-104.8555556
2005-10,oval,38.581572,-121.4944
2005-10,oval,34.9530556,-120.4347222
2005-10,oval,35.2505556,-91.7361111
2005-10,oval,37.7397222,-121.4241667
2005-10,oval,32.6097222,-85.4808333
2005-10,oval,37.7750000,-122.4183333
2005-10,oval,26.1400000,-80.2136111
2005-10,,36.0652778,-119.0158333
2005-10,,53.3,-3.75
2005-10,,33.6305556,-112.3325000
2005-10,,34.9530556,-120.4347222
2005-10,,42.9275000,-123.2800000
2005-10,,43.7575000,-122.4952778
2005-10,,41.8558333,-75.2241667
2005-10,,33.6000000,-117.6711111
2005-10,,38.1019444,-79.3183333
2005-10,,41.5733333,-87.7844444
2005-10,,61.2180556,-149.9002778
2005-10,,36.1750000,-115.1363889
2005-10,,38.7072222,-121.2800000
2005-10,,51.833333,.583333
2005-10,,38.2933333,-83.6588889
2005-10,,40.7141667,-74.0063889
2005-10,,34.0211111,-118.3955556
2005-10,,37.967836,-122.332649
2005-10,,60.631811,24.857883
2005-10,cylinder,40.0063889,-75.7036111
2005-10,triangle,57.149563,24.860333
2005-10,triangle,42.983333,-79.25
2005-10,triangle,40.5030556,-78.6305556
2005-10,triangle,41.5066667,-90.5150000
2005-10,triangle,33.5091667,-111.8983333
2005-10,triangle,34.924031,-117.891208
2005-10,triangle,41.5733333,-87.7844444
2005-10,triangle,45.07974,-93.257551
2005-10,triangle,38.9905556,-77.0263889
2005-10,triangle,25.7738889,-80.1938889
2005-10,light,39.3397222,-74.5755556
2005-10,light,41.6611111,-87.7525000
2005-10,light,38.4000000,-105.2166667
2005-10,light,37.4852778,-122.2352778
2005-10,light,42.4566667,-83.9463889
2005-10,light,41.6027778,-87.7438889
2005-10,light,41.7636111,-72.6855556
2005-10,light,39.0997222,-94.5783333
2005-10,light,41.7002778,-73.9213889
2005-10,light,25.8897222,-80.1869444
2005-10,light,41.6027778,-87.7438889
2005-10,light,40.6638889,-74.2111111
2005-10,light,38.083403,-122.763304
2005-10,light,40.6808333,-112.2622222
2005-10,light,42.9786111,-71.0733333
2005-10,light,33.5805556,-112.2366667
2005-10,light,39.7391667,-104.9841667
2005-10,light,39.1269000,-92.4399000
2005-10,light,26.9338889,-80.0944444
2005-10,light,40.0150000,-105.2700000
2005-10,light,52.75,1.3
2005-10,light,37.7750000,-122.4183333
2005-10,diamond,40.6600000,-111.9955556
2005-10,diamond,41.6302778,-87.8538889
2005-10,formation,42.3241667,-83.4002778
2005-10,formation,41.626389,-87.711667
2005-10,formation,41.7255556,-87.8250000
2005-10,formation,33.1580556,-117.3497222
2005-10,formation,33.4483333,-112.0733333
2005-10,formation,53.5,-2.216667
2005-10,formation,41.5733333,-87.7844444
2005-10,formation,43.8013889,-91.2394444
2005-10,circle,40.9730556,-117.7347222
2005-10,circle,38.5730556,-82.8302778
2005-10,circle,32.7666667,-96.5988889
2005-10,circle,41.6027778,-87.7438889
2005-10,circle,41.5733333,-87.7844444
2005-10,rectangle,41.8175000,-113.3283333
2005-10,changing,32.4797222,-86.3619444
2005-10,changing,41.8777778,-87.9027778
2005-10,changing,45.50867,-73.553992
2005-10,changing,39.7391667,-104.9841667
2005-10,changing,40.7141667,-74.0063889
2005-10,flash,41.1219444,-83.0158333
2005-10,flash,40.1488889,-79.5413889
2005-10,flash,41.5250000,-88.0816667
2005-10,flash,36.0725000,-79.7922222
2005-10,sphere,33.7938889,-84.6605556
2005-10,sphere,35.6838889,-82.0094444
2005-10,sphere,37.2683333,-93.1169444
2005-10,sphere,32.7866667,-79.7950000
2005-10,sphere,45.3088889,-89.4963889
2005-10,egg,32.6630556,-95.4880556
2005-10,disk,32.7833333,-96.8000000
2005-10,disk,32.1344444,-97.4738889
2005-10,disk,48.4,-89.233333
2005-10,disk,44.4758333,-73.2125000
2005-10,disk,46.3580556,-94.2005556
2005-10,disk,41.6580556,-90.5844444
2005-10,disk,43.856259,18.413076
2005-10,fireball,35.9172222,-82.3011111
2005-10,fireball,37.7588889,-98.5527778
2005-10,fireball,38.6272222,-90.1977778
2005-10,fireball,43.1200000,-85.5600000
2005-10,fireball,40.0811111,-75.1897222
2005-10,fireball,38.2919444,-122.4569444
2005-10,cigar,31.6277778,-110.3333333
2005-10,cigar,41.6005556,-93.6088889
2005-10,cigar,41.5769444,-73.4088889
2005-10,cigar,36.1538889,-95.9925000
2005-10,cigar,28.5380556,-81.3794444
2005-10,chevron,37.3394444,-121.8938889
2005-10,chevron,40.0150000,-105.2700000
2005-10,chevron,34.2283333,-118.5358333
2005-10,chevron,44.9430556,-123.0338889
2005-11,oval,34.2783333,-119.2922222
2005-11,,41.2888889,-72.6822222
2005-11,,38.529288,-76.975251
2005-11,,41.8500000,-87.6500000
2005-11,,34.1975000,-119.1761111
2005-11,,47.6063889,-122.3308333
2005-11,,40.6430556,-111.2800000
2005-11,,39.6294444,-79.9561111
2005-11,,38.0194444,-122.1330556
2005-11,,41.7797222,-71.4377778
2005-11,,35.2269444,-80.8433333
2005-11,,37.3861111,-122.0827778
